dataset,group,matrix_dim,matrix_nnz,matrix_sparsity,vector_nnz,vector_sparsity,mode,cores,scf_median_s,splyce_median_s
s2rmt3m1,Cylshell,5489,217681,0.9927750630361901,40,0.9927750630361901,multicore,32,0.000134,0.000106
mn2010,DIMACS10,259777,1227102,0.9999818164251022,12,0.9999818164251022,multicore,32,0.001502,0.000848
thread,DNVS,29736,4444880,0.994973161362814,148,0.994973161362814,multicore,32,0.002173,0.001133
cavity10,DRIVCAV,2597,76171,0.9887060526726656,30,0.9887060526726656,multicore,32,8.1e-05,6.5e-05
dielFilterV2real,Dziekonski,1157456,48538952,0.9999637689088039,51,0.9999637689088039,multicore,32,0.020034,0.010731
ifiss_mat,Embree,96307,3599932,0.9996118687704185,40,0.9996118687704185,multicore,32,0.00211,0.001045
airfoil_2d,Engwirda,14214,259688,0.9987146563408363,23,0.9987146563408363,multicore,32,0.000104,7.6e-05
sme3Da,FEMLAB,12504,874887,0.9944043050177878,82,0.9944043050177878,multicore,32,0.000695,0.000315
uni_chimera_i1,FlowIPM22,100000,1100592,0.9998899408,19,0.9998899408,multicore,32,0.001017,0.000303
PR02R,Fluorem,161070,8185136,0.9996845020203851,49,0.9996845020203851,multicore,32,0.004115,0.002227
Freescale2,Freescale,2999349,14313235,0.9999984089501148,27,0.99999,multicore,32,0.015571,0.010854
ncvxqp5,GHS_indef,62500,424966,0.999891208704,5,0.999891208704,multicore,32,0.000109,8.8e-05
copter2,GHS_psdef,55476,759952,0.9997530688475423,11,0.9997530688475423,multicore,32,0.000226,0.000151
pesa,Gaertner,11738,79566,0.999422516852222,8,0.999422516852222,multicore,32,3.1e-05,2.8e-05
garon1,Garon,3175,84723,0.9915954615909232,29,0.9915954615909232,multicore,32,3.7e-05,2.3e-05
kmer_P1a,GenBank,139353211,297829984,0.9999999846632105,1389,0.99999,multicore,32,22.173573,21.947185
flickr,Gleich,820878,9837214,0.999985401276395,14,0.999985401276395,multicore,32,0.015059,0.008435
goodwin,Goodwin,7320,324772,0.993938830660814,38,0.993938830660814,multicore,32,8.8e-05,6e-05
graham1,Graham,9035,335472,0.9958903961076169,35,0.9958903961076169,multicore,32,0.000105,6.1e-05
